session,turn,old_label,new_label,confidence,transcript_time,speaker_name,evidence_quote,mapping_method,rationale
1,2,UNVERIFIED,INCORRECT,0.70,25:56,P1,"Also wieso jetzt 1003 mal, wenn es Einheiten, dann habe ich mich eventuell nicht korrekt.",time_window,"time=1.00, lexical=0.10, polarity=1.00, speaker_rel=0.70, issue=none"
1,7,UNVERIFIED,CORRECT,0.70,28:50,P1,"Mein erster Zuverlässigkeitscheck, sowas stimmt.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,14,UNVERIFIED,UNVERIFIED,0.71,,,,manual,"time=1.00, lexical=0.03, polarity=1.00, speaker_rel=1.00, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
1,22,UNVERIFIED,UNVERIFIED,0.70,,,,manual,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
1,28,UNVERIFIED,INCORRECT,0.70,01:05:22,P1,Und dann hat er in der falschen Tabelle gesucht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,29,UNVERIFIED,INCORRECT,0.70,01:05:22,P1,Und dann hat er in der falschen Tabelle gesucht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,30,UNVERIFIED,INCORRECT,0.70,01:05:22,P1,Und dann hat er in der falschen Tabelle gesucht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,34,UNVERIFIED,ERROR,0.64,01:08:38,Researcher,"Überlauffehler, dann kam zu viel zurück.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=0.40, issue=none"
1,35,UNVERIFIED,ERROR,0.66,01:08:38,Researcher,"Überlauffehler, dann kam zu viel zurück.",time_window,"time=1.00, lexical=0.07, polarity=1.00, speaker_rel=0.40, issue=none"
1,36,UNVERIFIED,INCORRECT,0.67,01:10:17,P1,"Ja, was sage ich, wenn der lügt?",time_window,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=0.70, issue=none"
1,37,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
