session,turn,user_query,assistant_response_preview,sql_preview,sme_quote,coder_evidence,transcript_time,proposed_label
S1,T2,"Welche Artikelnummer ist es denn, die 1003 Mal verkauft wurde?","Die Artikelnummer, die im Jahr 2025 am häufigsten verkauft wurde, ist **71091794** mit einer Gesamtmenge von 47'482 verkauften Einheiten.","SELECT TOP 1 Artikelnummer, SUM(Menge) as Gesamtmenge FROM dbo.KHKVKBelegePositionen WHERE YEAR(Liefertermin) = 2025 GROUP BY Artikelnummer ORDER BY Gesamtmenge DESC",[00:25:45] 1003 macht grundsätzlich keinen Sinn. | [00:25:54] Das verstehe ich nicht.,"Also wieso jetzt 1003 mal, wenn es Einheiten, dann habe ich mich eventuell nicht korrekt.",25:56,CONTRADICTION_VERIFIED
S1,T10,"Wie lange dauert es, ein Stück des Artikels 71513763 zu fertigen?","Es scheint, dass es keine Daten zur Fertigungszeit für den Artikel mit der Artikelnummer **71513763** in der Tabelle ""dbo.KHKPpsBdeAp"" gibt. Dies könn","SELECT AVG(DATEDIFF(minute, DatumZeitStart, DatumZeitEnde)) AS DurchschnittlicheFertigungszeitMinuten FROM dbo.KHKPpsBdeAp WHERE FfArtikel = '71513763'","[00:32:09] Jetzt die beiden ersten, die er genannt hat und dann habe ich Nenn mir den dritthäufigsten und dann holt er den dritthäufigsten wahrscheinlich, weil alles andere unter solche Artikel summie","""Nicht falsch, aber auch nicht""",32:24,CONTRADICTION_VERIFIED
S1,T11,"Die Fertigungszeit ist im Fertigungsauftrag und in der Ressourcenliste des Artikels hinterlegt, kannst du mir diese ausgeben?","Es scheint, dass es keine spezifischen Einträge in den Tabellen für die Artikelnummer **71513763** gibt, die die Fertigungszeit direkt angeben. Dies k","SELECT TOP 1 rp.Artikelnummer, rp.Ressourcetyp, rp.Ressourcenummer, rp.Arbeitsgangnummer, rp.Matchcode, agp.Position, agp.RessourceTypAg, agp.RessourcenummerAg FROM dbo.KHKPpsRessourcenPositionen rp J","[00:35:13] Mit der Rückmeldung, bin mir nicht sicher, ob er da zum Ziel kommt. | [00:35:17] Ja, kommt zum Ist und nicht zum Soll.",Wrong table for manufacturing time,35:31,UNADJUDICATED
S1,T14,"Dieser Artikel besteht aus einem Drehteil, das wir ebenfalls bei uns anfertigen. Kannst du mir sagen, wie lange die Zeit für das Drehen bei diesem Art","Es scheint, dass es keine spezifischen Einträge für die Drehzeit des Artikels mit der Artikelnummer **71513763** in der Tabelle ""dbo.KHKPpsRessourcenP","SELECT Stueckzeit, Ruestzeit FROM dbo.KHKPpsRessourcenPositionen WHERE Artikelnummer = '71513763' AND Ressourcetyp = 'Drehen'",,"transcript 00:41:10 P1: ""Das stimmt nicht""; P1 later shows data exists",,CONTRADICTION_VERIFIED
S1,T17,Wann wurde Artikel ppsf25-d das letzte Mal gefertigt?,"Es scheint, dass es keine Einträge in der Datenbank gibt, die das letzte Fertigungsdatum für den Artikel ""ppsf25-d"" angeben. Dies könnte darauf hindeu",SELECT TOP 1 DatumZeitEnde FROM dbo.KHKPpsBdeStempelBackup WHERE ffartikel = 'ppsf25-d' ORDER BY DatumZeitEnde DESC,,transcript 00:42:17 P1: asserts Stueckzeit 4 min exists for PPSfD,,CONTRADICTION_VERIFIED
S1,T19,wie viele Stück dieses Artikels haben wir am 18.12.25 gefertigt?,"Am 18.12.2025 wurden insgesamt 5 Stück des Artikels ""ppsf25-d"" gefertigt.","SELECT SUM(Menge) as GesamtMenge FROM dbo.KHKPpsRueckmeldungen WHERE Artikelnummer = 'ppsf25-d' AND CONVERT(date, DatumZeitEnde) = '2025-12-18'","[00:53:38] Das ist was, wo ich jetzt mehrere Klicks machen müsste, bis ich diese Antworten habe, nicht so wie da. | [00:53:44] Da ist einfach ein.","""Das ist eine gute Antwort, aber sie stimmt nicht""",53:52,CONTRADICTION_VERIFIED
S1,T21,"kannst du mir sagen, woher du diese Info nimmst?","Ich habe diese Informationen aus den Datenbanktabellen abgerufen, die Fertigungsbuchungen und Produktionsrückmeldungen enthalten. Diese Tabellen erfas",,"[00:55:04] Das wäre vielleicht nicht schlecht. | [00:55:05] Ich bin bei solchen Dingen eher der Meinung, beim Schreiben gebe ich mehr Mühe und es wird exakter, wie wenn ich da einfach reinspreche.","""Das stimmt nicht""",55:19,CONTRADICTION_VERIFIED
S1,T24,Wie viele Stück wurden am 19.01.2026 gefertigt?,"Am 19.01.2026 wurden insgesamt 47 Stück des Artikels ""ppsf25-d"" gefertigt.","SELECT SUM(Menge) as GesamtMenge FROM dbo.KHKPpsRueckmeldungen WHERE Artikelnummer = 'ppsf25-d' AND CONVERT(date, DatumZeitEnde) = '2026-01-19'",[01:00:15] Falsch oder der hätte jetzt hier klar merken müssen am 12. | [01:00:19] März ist gleiche Menge Artikel heißt genau gleich hätte er da die Preisänderung merken müssen keine Ahnung.,"""Falsch""",01:00:15,CONTRADICTION_VERIFIED
S1,T26,"Wann haben wir den Artikel 71513773 das letzte Mal verkauft, mit welcher Stückzahl und zu welchem Preis?",Der Artikel mit der Artikelnummer **71513773** wurde zuletzt am **14.01.2026** verkauft. Dabei wurden **96 Stück** zu einem Einzelpreis von **CHF 262.,"SELECT TOP 1 vk.Liefertermin, vk.Menge, vk.Einzelpreis FROM dbo.KHKVKBelegePositionen vk WHERE vk.Artikelnummer = '71513773' ORDER BY vk.Liefertermin DESC","[01:05:03] Und ich habe ihm dann gesagt, das Halbfertigprodukt heißt PPSF S, also das gesägte Rohr und enthält eine gewisse Menge Rohmaterial RM, weil bei uns heißen die Rohmaterial RM und so weiter u","""falschen Tabelle gesucht""",01:05:22,CONTRADICTION_VERIFIED
S1,T27,Wann hat sich der Preis dieses Artikels das letzte mal verändert?,Der Preis des Artikels mit der Artikelnummer **71513773** wurde zuletzt am **19.01.2026** geändert. Der mittlere Einkaufspreis (MittlererEK) wurde auf,"SELECT TOP 1 Datum, MittlererEK FROM dbo.KHKArtikelbewertungMEKHistorie WHERE Artikelnummer = '71513773' ORDER BY Datum DESC",,"transcript 00:53:52 P1: ""gute Antwort, aber sie stimmt nicht""",,CONTRADICTION_VERIFIED
S1,T28,Wann hat sich der Verkaufspreis dieses Artikels geändert?,Der Verkaufspreis des Artikels mit der Artikelnummer **71513773** wurde zuletzt am **19.01.2026** geändert. Der Einzelpreis beträgt **CHF 262.71**.,"SELECT TOP 1 Timestamp, Einzelpreis FROM dbo.KHKVKBelegePositionen WHERE Artikelnummer = '71513773' ORDER BY Timestamp DESC","[01:05:03] Und ich habe ihm dann gesagt, das Halbfertigprodukt heißt PPSF S, also das gesägte Rohr und enthält eine gewisse Menge Rohmaterial RM, weil bei uns heißen die Rohmaterial RM und so weiter u",Und dann hat er in der falschen Tabelle gesucht.,01:05:22,CONTRADICTION_VERIFIED
S1,T29,"Und wenn du weiter zurückschaust, zbsp in 2025 oder 2024?",Der Verkaufspreis des Artikels mit der Artikelnummer **71513773** wurde zuletzt am **19.01.2026** geändert. Der mittlere Einkaufspreis (MittlererEK) w,"SELECT TOP 1 Datum, MittlererEK FROM dbo.KHKArtikelbewertungMEKHistorie WHERE Artikelnummer = '71513773' AND MittlererEK IS NOT NULL ORDER BY Datum DESC","[01:05:03] Und ich habe ihm dann gesagt, das Halbfertigprodukt heißt PPSF S, also das gesägte Rohr und enthält eine gewisse Menge Rohmaterial RM, weil bei uns heißen die Rohmaterial RM und so weiter u",Und dann hat er in der falschen Tabelle gesucht.,01:05:22,CONTRADICTION_VERIFIED
S1,T30,Zu welchen unterschiedlichen Preisen haben wir diesen Artikel in den letzten drei Jahren verkauft?,In den letzten drei Jahren wurde der Artikel mit der Artikelnummer **71513773** zu verschiedenen Preisen verkauft. Hier sind einige der unterschiedlic,"SELECT DISTINCT Einzelpreis, Liefertermin FROM dbo.KHKVKBelegePositionen WHERE Artikelnummer = '71513773' AND Liefertermin >= DATEADD(year, -3, GETDATE()) ORDER BY Liefertermin DESC","[01:05:03] Und ich habe ihm dann gesagt, das Halbfertigprodukt heißt PPSF S, also das gesägte Rohr und enthält eine gewisse Menge Rohmaterial RM, weil bei uns heißen die Rohmaterial RM und so weiter u",Und dann hat er in der falschen Tabelle gesucht.,01:05:22,CONTRADICTION_VERIFIED
S1,T33,Wie hoch sind die Fertigungskosten für den Artikel 71513773,"Die Fertigungskosten für den Artikel mit der Artikelnummer **71513773** sind in den Daten als **CHF 0.0** angegeben. Dies könnte darauf hindeuten, das","SELECT Artikelnummer, SUM(IstArbeitsplatzkosten + IstLohnkosten + IstApkostenRuesten + IstApkostenBetrieb) AS GesamtKosten FROM dbo.KHKPpsRueckmeldungen WHERE Artikelnummer = '71513773' GROUP BY Artik",,Incorrect explanation for 0.0,,UNADJUDICATED
S1,T36,"Das Halbfertigprodukt für diesen Artikel heisst ppsf50-s und enthält eine gewisse Menge Rohmaterial (RM) mit einer Anzahl an Metern, die benötigt werd","Es scheint, dass die spezifischen Informationen über die Menge an Rohmaterial (in Metern) für den Artikel ""ppsf50-s"" nicht direkt in den gefundenen Ta",,"[01:10:17] Ja, was sage ich, wenn der lügt? | [01:10:21] Er sagt, es gibt keine Buchung mit Gegenkonto Scan.","Ja, was sage ich, wenn der lügt?",01:10:17,PLAUSIBILITY_REJECTION
S1,T37,"Nein, die Info ist in der Ressourcenliste eingetragen","Für den Artikel ""ppsf50-s"" ist in der Ressourcenliste eine Länge von **585 mm** an Rohmaterial angegeben.",SELECT Dimensionstext FROM dbo.KHKPpsRessourcenPositionen WHERE Artikelnummer = 'ppsf50-s',"[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
