"segment_id","speaker","startTime","endTime","sentence"
"1","I","00:00:00","00:00:02","Die Aufnahme starten, die läuft jetzt."
"2","I","00:00:04","00:00:09","Genau, das ist jetzt eigentlich so der Anfang erstmal gewesen."
"3","I","00:00:09","00:00:20","Jetzt habt ihr einen Überblick bekommen und ich wollte diese Chance eigentlich auch mal nutzen, weil wir haben zwar schon mal auch drüber gesprochen über das Ganze, aber auch so die aktuelle Ausgangslage, bei der ihr euch aktuell befindet."
"4","I","00:00:20","00:00:35","Also ich würde so strukturieren, jetzt kurzes Vorab Interview, dann springen wir tatsächlich ins System rein, dann kommt kurz danach noch ein Fragebogen, der so fünf Minuten dauert und dann einfach können wir noch drüber quatschen, wie ihr es findet, ob es wirklich nützlich für euch wäre und so weiter."
"5","I","00:00:35","00:00:40","Und darum würde ich jetzt einfach damit anfangen, eben aktuelle Ausgangslage."
"6","I","00:00:40","00:00:58","Ihr habt dieses ODBC, dieses Legacy System, sag ich mal, das On Premise bei euch läuft, das ist ja über Sage dann verbunden als Nutzeroberfläche und damit habt ihr aktuell auch Probleme teilweise oder es hält euch zurück oder wie schätzt ihr die aktuelle Ausgangslage bei euch ein?"
"7","P1","00:00:59","00:01:04","Also vielleicht grundsätzlich hochdeutsch besser, eigentlich kein Problem."
"8","P1","00:01:05","00:01:08","Ich verstehe davon eigentlich gar nichts."
"9","P1","00:01:09","00:01:13","Ich nutze Sage, deswegen ist für mich Sage auch wunderbar."
"10","P1","00:01:14","00:01:16","Ich arbeite mit, was ich habe."
"11","P1","00:01:16","00:01:28","Ich hätte zum Teil gern mehr, aber das meiste, ich sage jetzt mal, was man offensichtlich braucht, 90 Prozent meiner Fragen kriege ich beantwortet mit dem System, das wir haben."
"12","P1","00:01:29","00:01:40","Was darüber hinausgeht, versteht er und kann dann zum Beispiel Abfragen bauen, die meine Fragen entweder schneller beantworten oder zusätzliche Dinge beantworten."
"13","P1","00:01:40","00:01:41","Also ganz einfach."
"14","P1","00:01:41","00:02:05","Jetzt sind wir gerade dabei, Rückmeldung eines Mitarbeiters, die melden über die BDE zurück, welche Teile, über welchen Auftrag, in welcher Zeit haben die gemacht, auf welcher Maschine und wenn ich das auswerten möchte, dann gibt es da eine vorgefertigte Sage Auswertung und die kann ich in Excel exportieren und dann kann ich dort drin beispielsweise rechnen."
"15","I","00:02:05","00:02:07","OK, spannend."
"16","P1","00:02:07","00:02:13","Ich kann aber nicht in Sage rechnen, weil logisch, die können nicht jede Frage, die irgendjemand hat, beantworten."
"17","P1","00:02:14","00:02:19","Ich brauche dafür aber dann sicher mal ihn, dass er dann die neue Abfrage bauen kann."
"18","P1","00:02:20","00:02:27","Und was dann halt auch ist, ich muss mit meinem Verständnis von was ich gern hätte, ihm klar machen, was ich gern hätte."
"19","P1","00:02:27","00:02:31","Er versteht zum Glück, weil er seit 20 Jahren uns betreut."
"20","P1","00:02:32","00:02:38","Und das sehe ich aber dann sonst, wenn ich das mit unserem Sage Integrator machen muss."
"21","P1","00:02:38","00:02:48","Und da hatten wir schon mehrmals Probleme, bis der versteht, was ich wirklich will, dann macht er es und dann sehe ich aber vier Wochen später, was er wirklich gemacht hat."
"22","P1","00:02:48","00:02:56","Und wenn irgendwas in einer fünfseitigen Auftragsbestätigung nicht richtig formuliert war durch mich, dann kann er Ich habe meinen Job erledigt."
"23","P1","00:02:56","00:02:59","Ist ein Problem, das kostet jetzt so und so viel Geld."
"24","P1","00:02:59","00:03:03","Das ist für mich das größte Problem mit Sage, was ich habe."
"25","P1","00:03:03","00:03:10","Aber logischerweise, das ist so eine Standardsoftware, nenne ich das, Da kann ich auch nicht mehr erwarten."
"26","P1","00:03:10","00:03:20","Schön wäre es aber da sehe ich, wo so etwas personalisierter nutzbar wäre und schön wäre es, wenn das eben durch mich nutzbar ist."
"27","P1","00:03:21","00:03:27","Und nicht immer dazu aber vielleicht deine Einschä Was kann Sage und was kann Sage nicht."
"28","P2","00:03:28","00:03:39","Sage ist eine ERP Lösung und kann natürlich, ich sage jetzt mal, gängige Daten verarbeiten und bietet auch Analysetools."
"29","P2","00:03:39","00:03:45","Also man kann gucken, welchen Artikel haben wir am meisten verkauft und blablabla."
"30","P2","00:03:45","00:03:58","Und das Produkt hat natürlich auch ein Reporting über gängige, über gängige Fragen, die an eine betriebswirtschaftliche Unternehmung gerichtet sind, aber eben nicht en detail."
"31","P2","00:03:58","00:04:00","Das ist halt schwierig."
"32","P2","00:04:01","00:04:15","Und dann ist natürlich, wenn man es genau wissen mag, ist man gefordert, den Datenhintergrund zu erkennen und auch eben die Konstellation der Tabellen."
"33","P2","00:04:16","00:04:18","Wie macht er das und blablabla."
"34","P2","00:04:18","00:04:21","Und das ist sehr kompliziert."
"35","P2","00:04:22","00:04:27","Und da hoffen wir natürlich, dass das genau diese Spalte schließen könnte."
"36","I","00:04:27","00:04:35","Sehr spannend, weil genau diese Herausforderung, die du gerade auch erklärst, war auch eine, die ich in dem ganzen Entwicklungsprozess hatte."
"37","I","00:04:35","00:04:39","Weil es war dann oft so, dass es wunderbar auf kleineren Datenbanken funktioniert hat."
"38","I","00:04:39","00:04:48","Aber sobald man das halt und auf der einen Datenbank, auf die ich Zugriff hatten wir über 940 Tabellen, die halt auch alle spezielle Namen haben und so weiter."
"39","I","00:04:49","00:04:56","Wie ein KI System, das auch wirklich herausfinden kann, was dort die relevanten Spalten und Tabellen sind."
"40","I","00:04:56","00:05:01","Dass es eben nicht nur ein Mitarbeiter ist, sondern tatsächlich auch eine KI, finde ich jetzt natürlich auch spannend."
"41","I","00:05:01","00:05:06","Ich hatte da jetzt auch einen sehr spannenden Lösungsansatz, der ich glaube, das auch grundsätzlich viel interessanter macht."
"42","I","00:05:06","00:05:10","Aber können wir dann später auch noch darauf eingehen und eintauchen."
